record_id,first_name,last_name,gender,date_of_birth,address,city,county,ssn,phone_number,email
26,Evanghelina,Tudor,F,1936-05-24,Strada Aanei Nr. 343 Bl. 73  Sc. 24 Ap. 930,Sector 6,Ilfov,2671130102295,8972175744,tudor.evanghelina@protonmail.com
27,Rebeca,Suciu,F,1985-03-25,Bulevardul Mazilescu,Sector 6,Sibiu,6671117349638,1961837931,rebecasuciu@hotmail.com
28,Jana,Diaconescu,F,1961-03-06,Bulevardul Dochioiu,Sector 6,Suceava,1470609158631,5438135929,jdiaconescu@outlook.com
29,Dariana,Aanei,F,1947-11-19,Intrarea Natașa Dinu,Sector 6,Brașov,8921131181162,1043073371,dariana.aanei@hotmail.com
30,Iacob,Barbu,M,1964-05-05,Drumul Tabacu Nr. 549 Bl. 77  Sc. 94 Ap. 129,Sector 6,Maramureș,1510201249824,8081879342,barbu.iacob@gmail.com
31,Silvana,Mocanu,F,1960-01-22,Soseaua Voinea,Sector 6,Teleorman,2750108288744,0260948556,silvanamocanu@outlook.com
32,Gelu,Stan,M,1936-10-12,Soseaua Oprea Nr. 695,Sector 6,Brăila,3631005349627,6970261110,gelus@protonmail.com
33,Anghel,Stan,M,1945-08-14,Bulevardul Florea Nr. 220 Bl. 98  Sc. 21 Ap. 118,Sector 6,Suceava,1830305233914,5924901013,anghels@yahoo.com
34,Alma,Gheorghiu,F,1965-04-11,Strada Alis Preda Nr. 159 Bl. 12  Sc. 16 Ap. 406,Sector 6,Prahova,1210102148221,5766637432,almagheorghiu@protonmail.com
35,Alexandru,Pop,M,1938-09-19,Soseaua Tomescu,Sector 6,Harghita,4601228350701,9750500920,apop@yahoo.com
36,Alin,Eftimie,M,1969-01-09,Intrarea Pușcașu Nr. 705,Sector 6,Ialomița,5800920354466,8223646854,eftimie.alin@yahoo.com
37,Inocențiu,Diaconu,F,1951-01-02,Intrarea Cornel Ioniță Nr. 27,Sector 6,Maramureș,5240418022160,8953059847,idiaconu@yahoo.com
38,Olimpian,Stan,F,1982-04-03,Strada Florența Tudor Nr. 36,Sector 6,Bacău,1550519089745,0965260270,stan.olimpian@protonmail.com
39,Oliviu,Stoica,M,1960-11-03,Soseaua Stănescu,Sector 6,Satu Mare,1311123023371,4417712474,stoica.oliviu@protonmail.com
40,Bogdana,Ioniță,F,1974-03-10,Aleea Ionescu,Sector 6,Galați,6981013080381,4242983347,ioniță.bogdana@yahoo.com
41,Dafina,Nemeș,F,1939-07-19,Strada Popescu,Sector 6,Tulcea,3730410189741,4541835613,dnemeș@gmail.com
42,Marinela,Gheorghiu,F,1939-03-11,Bulevardul Florea,Sector 6,Hunedoara,5470506043802,1313857262,marinelagheorghiu@hotmail.com
43,Virginia,Florea,F,1962-06-09,Drumul Pușcașu Nr. 827,Sector 6,Neamț,3020401388411,3515656513,florea.virginia@outlook.com
44,Laura,Tomescu,F,1999-09-10,Soseaua Nistor Nr. 850 Bl. 66  Sc. 64 Ap. 251,Sector 6,Mureș,8420628120967,9694613990,laura.tomescu@protonmail.com
45,Petrișor,Dobre,F,1985-02-08,Aleea Stoica Nr. 808 Bl. 84  Sc. 12 Ap. 323,Sector 6,Mehedinți,8410727149911,2243705116,pdobre@gmail.com
46,Tinca,Dumitrescu,F,1944-03-31,Aleea Matilda Stoica,Sector 6,Tulcea,2810412282106,6146451545,tinca.dumitrescu@protonmail.com
47,Artemisa,Stoica,F,1982-06-20,Strada Dominic Diaconu Nr. 317 Bl. 81  Sc. 94 Ap. 482,Sector 6,Dolj,7600901129231,6030570208,artemisas@outlook.com
48,Șerban,Suciu,F,1935-06-09,Bulevardul Eftimie Nr. 212,Sector 6,Harghita,7930720400165,5009550463,șerbansuciu@hotmail.com
49,Cristian,Gheorghiu,M,1988-05-27,Aleea Marin,Sector 6,Satu Mare,1040313406420,2378002901,cristiang@outlook.com
50,Pamela,Stoica,F,1953-04-04,Intrarea Virginia Gheorghiu Nr. 35,Sector 6,Suceava,4740705511831,1932863409,pamelastoica@hotmail.com
51,Adina,Stan,F,1936-10-16,Aleea Mădălin Ababei Nr. 10,Sector 6,Brașov,1580323283758,5813035793,adina.stan@yahoo.com
52,Sonia,Stancu,F,1936-08-31,Soseaua Aanei Nr. 45 Bl. 42  Sc. 70 Ap. 735,Sector 6,Ilfov,6691221097409,1571888127,stancu.sonia@outlook.com
53,Bartolomeu,Toma,M,1996-06-21,Soseaua Georgescu Nr. 902 Bl. 47  Sc. 30 Ap. 538,Sector 6,Ialomița,5660224240055,4883608962,bartolomeu.toma@outlook.com
54,Agata,Popescu,F,1959-07-12,Strada Dumitrescu Nr. 35 Bl. 21  Sc. 36 Ap. 178,Sector 6,Bihor,7920401132442,0382207159,agata.popescu@gmail.com
55,Marcela,Niță,F,1943-01-13,Bulevardul Suciu Nr. 68 Bl. 57  Sc. 68 Ap. 415,Sector 6,Bacău,8660901261821,0204400206,marcelaniță@gmail.com
56,Daciana,Eftimie,F,1935-04-14,Strada Roxana Toma,Sector 6,Maramureș,2410201454026,8935606873,daciana.eftimie@gmail.com
57,Eusebiu,Dobre,M,2007-09-04,Aleea Popa Nr. 288,Sector 6,Bacău,8630725192431,7044859804,eusebiu.dobre@yahoo.com
58,Geta,Diaconescu,F,1939-09-26,Soseaua Preda Nr. 63,Sector 6,Olt,6640615414735,0460041673,getadiaconescu@gmail.com
59,Amedeu,Stan,M,1993-10-09,Soseaua Stan Nr. 750,Sector 6,Timiș,5021005314658,6682646574,amedeu.stan@protonmail.com
60,Anemona,Ababei,F,1940-12-16,Intrarea Profira Dobre Nr. 71 Bl. 69  Sc. 27 Ap. 337,Sector 6,Suceava,4860619144019,6042785123,anemonaa@protonmail.com
61,Șerban,Tabacu,F,1941-09-28,Strada Corina Diaconescu,Sector 6,Tulcea,4511027320744,0684359129,șerban.tabacu@hotmail.com
62,Iolanda,Dima,F,1986-03-12,Strada Gică Suciu,Sector 6,Dâmbovița,5981115206841,2003170597,iolanda.dima@gmail.com
63,Rada,Suciu,F,1935-08-20,Aleea Iustina Popa Nr. 69 Bl. 33  Sc. 30 Ap. 511,Sector 6,Sălaj,3290230111608,4412694121,suciu.rada@gmail.com
64,Venera,Albu,F,1996-02-14,Strada Stancu,Sector 6,Neamț,3350523277233,0948503105,veneraalbu@protonmail.com
65,Corvin,Diaconescu,M,1946-01-28,Aleea Diaconu Nr. 795,Sector 6,Covasna,5871118216453,7284470685,diaconescu.corvin@gmail.com
66,Iacob,Diaconu,M,1944-05-07,Soseaua Mihnea Ioniță Nr. 693 Bl. 78  Sc. 31 Ap. 680,Sector 6,Vâlcea,7211123134896,9869422655,iacobdiaconu@yahoo.com
67,Frederic,Voinea,M,1995-09-14,Drumul Nistor Nr. 88,Sector 6,Bistrița-Năsăud,6101105177039,2260919527,frederic.voinea@gmail.com
68,Patricia,Pușcașu,F,1973-06-03,Soseaua Ioana Toma Nr. 51,Sector 6,Vâlcea,1600103145312,4239406227,patriciap@yahoo.com
69,Delia,Tomescu,F,1999-03-05,Soseaua Aanei Nr. 946 Bl. 71  Sc. 82 Ap. 484,Sector 6,Cluj,2190104374588,4330956064,deliat@outlook.com
70,Bianca,Diaconescu,F,1966-12-18,Bulevardul Nemeș Nr. 83 Bl. 66  Sc. 77 Ap. 994,Sector 6,Satu Mare,1230224222196,2001183437,bdiaconescu@hotmail.com
71,Denis,Aanei,M,1983-03-30,Bulevardul Ardelean Nr. 87 Bl. 49  Sc. 99 Ap. 632,Sector 6,Sălaj,1840214527229,3985702780,denis.aanei@yahoo.com
72,Luana,Pușcașu,F,1966-05-11,Aleea Ionescu Nr. 50 Bl. 57  Sc. 69 Ap. 348,Sector 6,Argeș,4930214015351,9590472870,luanap@yahoo.com
73,Renata,Nemeș,F,2003-04-13,Intrarea Marin,Sector 6,Buzău,8501223367434,6600352426,rnemeș@yahoo.com
74,Elvira,Ionescu,F,1997-01-15,Bulevardul Sanda Marin Nr. 66,Sector 6,Brașov,4820213388096,9615291075,elvirai@gmail.com
75,Antim,Gheorghiu,M,1948-09-19,Strada Stela Eftimie Nr. 84 Bl. 80  Sc. 14 Ap. 576,Sector 6,Hunedoara,5300623051964,8584106246,antimgheorghiu@outlook.com
76,Octavia,Nemeș,F,1987-03-25,Bulevardul Stănescu Nr. 48 Bl. 37  Sc. 97 Ap. 837,Sector 6,Maramureș,4900710038731,5035503005,octavia.nemeș@gmail.com
77,Adelaida,Ene,F,1949-09-06,Strada Mocanu Nr. 73 Bl. 58  Sc. 67 Ap. 578,Sector 6,Satu Mare,6310129424120,2432549291,adelaidae@hotmail.com
78,Lică,Ionescu,F,1996-07-16,Soseaua Dochioiu Nr. 972,Sector 6,Brăila,7490113305918,3452532012,lionescu@yahoo.com
79,Emanuil,Niță,M,1995-11-07,Strada Oprea Nr. 564 Bl. 77  Sc. 68 Ap. 351,Sector 6,Satu Mare,6840208526563,3932988787,emanuilniță@protonmail.com
80,Olivia,Marin,F,1978-10-30,Strada Cosmina Tomescu Nr. 453 Bl. 50  Sc. 73 Ap. 948,Sector 6,Bistrița-Năsăud,5370508115605,6976244939,marin.olivia@protonmail.com
81,Sinică,Voinea,M,1961-10-02,Intrarea Nicoară Dima Nr. 748 Bl. 59  Sc. 71 Ap. 856,Sector 6,Vrancea,3630731189969,3179589562,svoinea@gmail.com
82,Vicenția,Suciu,F,1950-06-06,Aleea Diaconu,Sector 6,Vrancea,7261113182069,5819704769,vicenția.suciu@outlook.com
83,Tudor,Barbu,M,1942-06-14,Soseaua Toma Nr. 939,Sector 6,Ialomița,5810117295799,8249807574,tudor.barbu@protonmail.com
84,Remus,Stancu,M,1977-01-10,Drumul Eftimie Nr. 345 Bl. 86  Sc. 33 Ap. 871,Sector 6,Giurgiu,3721204376204,6748025151,remus.stancu@gmail.com
85,Tudora,Suciu,F,1936-02-10,Drumul Dimitrina Eftimie Nr. 635 Bl. 80  Sc. 14 Ap. 302,Sector 6,Mehedinți,1440120445140,8200971215,tudorasuciu@outlook.com
86,Gina,Stan,F,1982-03-10,Intrarea Nistor Nr. 819,Sector 6,Bihor,1840221394433,4390994055,gstan@yahoo.com
87,Dina,Tabacu,F,1949-04-21,Strada Popescu Nr. 60,Sector 6,Harghita,4751108316319,3586468282,dtabacu@outlook.com
88,Pompiliu,Barbu,M,1957-12-07,Intrarea Stoica Nr. 769 Bl. 29  Sc. 50 Ap. 291,Sector 6,Dolj,4830920215037,0146487368,pompiliubarbu@yahoo.com
89,Sorina,Nemeș,F,1979-10-15,Strada Gheorghiu,Sector 6,Hunedoara,3230625136058,3785873339,snemeș@outlook.com
90,Avram,Diaconu,M,1948-10-04,Aleea Toma Nr. 397,Sector 6,Olt,2811123300115,4061070298,diaconu.avram@yahoo.com
91,Elisaveta,Popa,F,1950-08-11,Bulevardul Achim Ionescu Nr. 59 Bl. 94  Sc. 29 Ap. 813,Sector 6,Botoșani,7571222277309,3824259052,popa.elisaveta@gmail.com
92,Alexe,Pop,M,1962-03-13,Strada Tudor,Sector 6,Ilfov,2040219304937,7680530212,alexe.pop@gmail.com
93,Norman,Stancu,M,1973-11-11,Intrarea Sergiu Oprea,Sector 6,Ilfov,7210104294297,1209714759,normanstancu@gmail.com
94,Ciprian,Dochioiu,M,1965-11-01,Aleea Nemeș,Sector 6,Suceava,6120213194125,4233752389,cdochioiu@outlook.com
95,Iustin,Ene,M,1956-01-13,Strada Nemeș,Sector 6,Bistrița-Năsăud,6310819416020,3361991426,ene.iustin@outlook.com
96,Sergiu,Manole,M,1944-10-13,Drumul Alexandra Pușcașu Nr. 80 Bl. 32  Sc. 24 Ap. 921,Sector 6,Giurgiu,7641222328933,1947695413,smanole@yahoo.com
97,Safta,Suciu,F,1973-01-31,Drumul Aanei,Sector 6,Timiș,2720910467163,6017394244,ssuciu@outlook.com
98,Cezar,Ababei,M,1985-08-10,Intrarea Maximilian Albu Nr. 98 Bl. 92  Sc. 17 Ap. 194,Sector 6,Satu Mare,5871011425666,2816590340,cezara@yahoo.com
99,Elodia,Albu,F,1955-01-26,Strada Florea Nr. 973,Sector 6,Prahova,2841209372236,3619312969,ealbu@hotmail.com
100,Octav,Cristea,M,1937-07-06,Bulevardul Ene Nr. 18 Bl. 26  Sc. 86 Ap. 626,Sector 6,Iași,1531109433371,7904413353,octavcristea@yahoo.com
101,Nicolaie,Nemeș,M,1989-09-02,Aleea Costin Dobre Nr. 56 Bl. 13  Sc. 79 Ap. 630,Sector 6,Argeș,8291013265200,7242070141,nicolaien@yahoo.com
102,Elisabeta,Oprea,F,1987-07-15,Drumul Denis Stoica,Sector 6,București,1580511064357,0503730358,elisabetaoprea@gmail.com
103,Cecilia,Diaconu,F,1968-08-28,Strada Nidia Georgescu Nr. 33,Sector 6,Alba,3240317177232,2960426966,diaconu.cecilia@outlook.com
104,Frederic,Tudor,M,1984-03-01,Aleea Stănescu Nr. 47 Bl. 11  Sc. 22 Ap. 719,Sector 6,Maramureș,7380218300284,4101414212,tudor.frederic@hotmail.com
105,Oliviu,Cristea,M,1994-05-16,Soseaua Popa Nr. 988 Bl. 98  Sc. 97 Ap. 780,Sector 6,Ialomița,5110614406212,8209975696,oliviuc@outlook.com
106,Mirela,Ardelean,F,1948-12-12,Drumul Voinea Nr. 222,Sector 6,Bistrița-Năsăud,3211012439187,5351624066,mirelaardelean@hotmail.com
107,Adelin,Oprea,M,1954-12-24,Drumul Popa,Sector 6,Teleorman,8810229049627,3142693150,oprea.adelin@protonmail.com
108,Cantemir,Diaconescu,F,1987-01-05,Bulevardul Ardelean Nr. 283 Bl. 59  Sc. 93 Ap. 820,Sector 6,Ialomița,3821111029648,0152238819,diaconescu.cantemir@outlook.com
109,Cornel,Voinea,M,2004-01-04,Strada Ionescu,Sector 6,Satu Mare,6050331455276,0009323044,cornelv@protonmail.com
110,Frederic,Albu,M,1963-05-13,Aleea Tabacu Nr. 70 Bl. 65  Sc. 39 Ap. 440,Sector 6,Mureș,6581003468821,3056928758,frederic.albu@outlook.com
111,Sergiu,Ioniță,M,1940-08-11,Strada Dora Nemeș Nr. 54,Sector 6,Vrancea,8080214518412,9238598170,sergiuioniță@gmail.com
112,Dorin,Diaconu,M,1953-08-06,Drumul Pușcașu Nr. 94 Bl. 30  Sc. 24 Ap. 398,Sector 6,Covasna,2190611187499,7883617687,ddiaconu@yahoo.com
113,Jana,Mazilescu,F,1970-10-19,Bulevardul Preda Nr. 68,Sector 6,Galați,8840418320439,7975927327,janam@protonmail.com
114,Gianina,Oprea,F,1973-11-12,Aleea Eftimia Dobre,Sector 6,Satu Mare,5501014327747,1968508538,gianinao@protonmail.com
115,Horea,Nistor,M,1936-11-09,Aleea Toma Nr. 156,Sector 6,Olt,5341112217751,4680492271,hnistor@gmail.com
116,Albert,Ene,M,1973-06-25,Strada Emanuil Marin Nr. 23,Sector 6,Timiș,4410519144625,6821493402,ene.albert@gmail.com
117,Antonela,Nistor,F,2001-08-18,Bulevardul Dochioiu,Sector 6,Suceava,4311129318756,3756321592,anistor@yahoo.com
118,Lazăr,Suciu,M,1944-08-13,Intrarea Eftimie,Sector 6,Constanța,7560430104201,4836662823,lazărs@gmail.com
119,Demetra,Ene,F,1957-03-18,Soseaua Albertina Georgescu Nr. 59,Sector 6,Buzău,5570217199381,0207499625,dene@yahoo.com
120,Loredana,Gheorghiu,F,2006-11-21,Soseaua Manole Nr. 127 Bl. 14  Sc. 20 Ap. 881,Sector 6,Botoșani,7600917517570,8141025497,lgheorghiu@hotmail.com
121,Vasilica,Dobre,M,1944-01-23,Soseaua Ababei,Sector 6,Sălaj,8980503398761,9731455858,vasilicad@outlook.com
122,Maia,Tomescu,F,1966-09-01,Strada Voinea,Sector 6,Harghita,6290706469390,6273147793,maiat@outlook.com
123,Adela,Pușcașu,F,1945-07-10,Intrarea Georgescu Nr. 115 Bl. 41  Sc. 47 Ap. 109,Sector 6,Sălaj,1680323306131,2786382537,apușcașu@outlook.com
124,Teodora,Gheorghiu,F,1970-10-24,Drumul Diaconescu Nr. 67 Bl. 32  Sc. 19 Ap. 995,Sector 6,Constanța,5800820255929,1459510987,gheorghiu.teodora@protonmail.com
125,Valter,Dochioiu,M,1997-08-16,Drumul Nistor,Sector 6,Galați,6920724279025,4251574495,valterd@outlook.com
126,Iuliana,Ardelean,F,1938-02-16,Strada Suciu Nr. 15 Bl. 81  Sc. 95 Ap. 856,Sector 6,Brăila,7981106415706,9432802038,iuliana.ardelean@gmail.com
127,Hortensia,Pușcașu,F,1995-10-23,Bulevardul Nemeș,Sector 6,Olt,4981120454657,6788486235,hortensiap@protonmail.com
128,Clementina,Stoica,F,1994-06-06,Drumul Suciu Nr. 51,Sector 6,Ilfov,1781216135403,7201511914,cstoica@protonmail.com
129,Valentina,Ardelean,F,1966-08-26,Drumul Theodor Eftimie Nr. 50,Sector 6,Prahova,6890728238798,6126497968,valentinaardelean@yahoo.com
130,Grațian,Diaconescu,M,1957-04-13,Bulevardul Tomescu,Sector 6,Galați,3171119293709,4173715265,gdiaconescu@hotmail.com
131,Tiberia,Nemeș,F,1946-11-09,Strada Oprea Nr. 17 Bl. 53  Sc. 17 Ap. 574,Sector 6,Brașov,1730422339645,3999922930,tiberianemeș@gmail.com
132,Traian,Ababei,M,1978-01-12,Drumul Anabela Ionescu Nr. 319 Bl. 45  Sc. 48 Ap. 666,Sector 6,Covasna,3730427454677,5980862191,ababei.traian@protonmail.com
133,Sabina,Stan,F,1996-11-15,Aleea Timotei Florea Nr. 308,Sector 6,Caraș Severin,8940504312922,5908382363,sabina.stan@yahoo.com
134,Amelia,Ardelean,F,1999-08-25,Drumul Niță,Sector 6,Mehedinți,7890523055731,7283911892,ardelean.amelia@hotmail.com
135,Tudor,Popescu,M,1992-03-31,Bulevardul Ababei Nr. 835,Sector 6,Iași,2251126236087,5514204691,tudorp@protonmail.com
136,Lorena,Aanei,F,1944-12-13,Bulevardul Popa Nr. 587,Sector 6,Galați,8980327330063,6246390676,lorenaa@protonmail.com
137,Sanda,Pop,F,1949-08-30,Soseaua Didina Florea Nr. 521 Bl. 40  Sc. 48 Ap. 201,Sector 6,Hunedoara,6531004050225,9626597350,spop@yahoo.com
138,Blanduzia,Suciu,M,1995-11-29,Bulevardul Nemeș Nr. 113,Sector 6,Covasna,6951219364600,4835679265,suciu.blanduzia@gmail.com
139,Mirona,Oprea,F,1956-03-06,Strada Gheorghiu Nr. 778 Bl. 47  Sc. 20 Ap. 144,Sector 6,Neamț,5200715079047,4238011911,mirona.oprea@outlook.com
140,Savina,Pop,F,1963-08-07,Drumul Axinte Pușcașu,Sector 6,Giurgiu,8021118012506,6684557596,savinap@yahoo.com
141,Sanda,Tudor,F,1991-04-23,Aleea Nemeș,Sector 6,Cluj,6030919263402,5901050284,sandat@outlook.com
142,Maia,Dumitrescu,F,1974-10-18,Aleea Liana Ene Nr. 16,Sector 6,Vaslui,4381003216420,3885746835,maiad@yahoo.com
143,Anabela,Dima,F,1965-10-05,Strada Pompiliu Stan Nr. 202 Bl. 92  Sc. 46 Ap. 309,Sector 6,Cluj,4020610354682,0478580412,anabelad@yahoo.com
144,Ianis,Preda,M,1951-02-28,Soseaua Cristea Nr. 53,Sector 6,Timiș,5880129115921,6794286341,preda.ianis@yahoo.com
145,Tincuța,Tabacu,M,1951-08-11,Drumul Niță,Sector 6,Brașov,1280717103836,2181315786,tabacu.tincuța@gmail.com
146,Augustin,Popescu,M,1934-09-09,Intrarea Dima Nr. 877,Sector 6,Iași,6921229518409,9857071382,augustin.popescu@hotmail.com
147,Anda,Georgescu,F,1985-03-24,Bulevardul Gheorghiu,Sector 6,Ilfov,6591228084660,8081605493,georgescu.anda@outlook.com
148,Marian,Dumitrescu,M,1983-04-12,Strada Ene,Sector 6,Maramureș,4700910133766,4017839492,dumitrescu.marian@gmail.com
149,Ștefana,Popa,F,1951-11-02,Strada Tudor Nr. 314,Sector 6,Ilfov,8210304411451,6654615236,ștefanapopa@yahoo.com
150,Letiția,Dochioiu,M,1965-10-14,Soseaua Florea Nr. 23,Sector 6,Covasna,2531106311831,7054222488,letițiad@hotmail.com
151,Mitruț,Nemeș,M,1968-12-04,Bulevardul Marin Nr. 19 Bl. 38  Sc. 70 Ap. 195,Sector 6,Bacău,3870312308151,5190690590,mitruțnemeș@outlook.com
152,Edmond,Popa,M,1945-12-29,Soseaua Tabacu Nr. 35 Bl. 75  Sc. 66 Ap. 427,Sector 6,Caraș Severin,3690720377773,1834867898,popa.edmond@hotmail.com
153,Jenel,Nistor,M,1994-02-20,Drumul Ardelean Nr. 383 Bl. 19  Sc. 36 Ap. 278,Sector 6,Harghita,8810907052591,2298790808,jenel.nistor@hotmail.com
154,Lucian,Stan,M,2002-05-23,Aleea Dumitrana Albu,Sector 6,Galați,7430613250493,4833669627,stan.lucian@hotmail.com
155,Antoniu,Aanei,M,1949-06-18,Soseaua Nistor Nr. 711,Sector 6,Călărași,3491119210962,8800617314,antoniu.aanei@hotmail.com
156,Marcel,Ionescu,M,1991-12-17,Aleea Popescu Nr. 743 Bl. 96  Sc. 41 Ap. 449,Sector 6,Hunedoara,4581215133151,2929581818,mionescu@protonmail.com
157,Aleodor,Florea,F,1943-10-22,Bulevardul Florea,Sector 6,Harghita,1330721314564,5804375239,florea.aleodor@yahoo.com
158,Zenovia,Nistor,F,1987-12-20,Drumul Oliviu Mazilescu Nr. 75 Bl. 46  Sc. 48 Ap. 665,Sector 6,Alba,2000605133239,5568521749,znistor@gmail.com
159,Octavia,Tudor,F,1957-02-25,Bulevardul Mitruț Barbu,Sector 6,Buzău,5560920049431,8618100728,octavia.tudor@outlook.com
160,Ghenadie,Popa,M,1999-03-18,Bulevardul Nistor,Sector 6,Bacău,5780710426401,0617868240,ghenadiep@protonmail.com
161,Arian,Pușcașu,M,1973-02-07,Intrarea Tomescu Nr. 60,Sector 6,Tulcea,4450803284401,5913209045,pușcașu.arian@protonmail.com
162,Valentin,Suciu,M,2003-05-29,Drumul Nistor Nr. 749,Sector 6,Hunedoara,4861029515273,2473781009,valentinsuciu@outlook.com
163,Viorela,Diaconu,F,1943-02-14,Bulevardul Manole,Sector 6,Caraș Severin,4601122182054,2649332517,vdiaconu@outlook.com
164,Stanca,Dumitrescu,F,1959-02-02,Aleea Tomescu,Sector 6,Galați,2901029176143,6197496500,sdumitrescu@yahoo.com
165,Dacian,Tudor,M,1989-02-12,Strada Ardelean,Sector 6,Sălaj,4270630086187,3869654327,tudor.dacian@yahoo.com
166,Niculiță,Nemeș,F,2002-10-29,Drumul Barbu Nr. 183 Bl. 35  Sc. 61 Ap. 885,Sector 6,Vrancea,5430124336466,9154149409,nnemeș@yahoo.com
167,Ludovica,Niță,F,1999-03-13,Drumul Ardelean Nr. 32 Bl. 65  Sc. 54 Ap. 423,Sector 6,Cluj,3671231022391,6553233422,ludovica.niță@gmail.com
168,Paulina,Tabacu,F,1982-08-05,Intrarea Nemeș Nr. 37 Bl. 90  Sc. 69 Ap. 664,Sector 6,București,1170524325476,1011823993,paulinatabacu@yahoo.com
169,Miron,Tabacu,M,1940-07-31,Soseaua Ene Nr. 770,Sector 6,Bistrița-Năsăud,2670516175071,5292263455,miron.tabacu@outlook.com
170,Marinela,Popa,F,1980-08-31,Bulevardul Octaviana Manole Nr. 184 Bl. 31  Sc. 40 Ap. 989,Sector 6,Gorj,3681224048919,9963266468,mpopa@protonmail.com
171,Anda,Dima,F,1998-05-31,Strada Eftimie Nr. 10 Bl. 59  Sc. 50 Ap. 186,Sector 6,Sibiu,8890321061077,1274080450,adima@gmail.com
172,Ghiță,Florea,M,1971-01-30,Drumul Ababei,Sector 6,Buzău,6760627159477,1272289756,gflorea@outlook.com
173,Crin,Georgescu,M,2005-09-22,Intrarea Florea Nr. 151,Sector 6,București,1510127362453,0032667072,georgescu.crin@yahoo.com
