record_id,first_name,last_name,gender,date_of_birth,street,street_number,city,county,ssn,phone_number,email
31,Yvonne,Harris,M,1949-08-20,Victoria View,74089,New Craig,Wisconsin,098-68-9581,8514630064,yharris@gmail.com
32,Kristin,Arnold,F,2007-05-30,April Terrace,3028,Leonardhaven,Louisiana,268-42-4531,3575697525,kristina@gmail.com
33,Jennifer,Whitehead,M,1987-07-22,Jennifer Summit,111,Ramirezview,Minnesota,045-63-4525,5290752747,jwhitehead@gmail.com
34,Susan,Hill,M,1995-01-30,James Villages,41547,Christophertown,New Hampshire,440-93-9839,9905910350,susanh@protonmail.com
35,Corey,Rojas,M,1949-09-25,Barry Bypass,824,Williamstad,Delaware,200-35-1168,1204293202,rojas.corey@protonmail.com
36,Frances,Ferguson,F,2003-06-25,Shah Rapids,63743,Lake Allison,Minnesota,408-78-7086,8043776944,frances.ferguson@hotmail.com
37,Virginia,Arnold,M,1974-04-06,Rachel Rue,92559,South Mark,New York,114-46-8539,2454905900,arnold.virginia@gmail.com
38,Jose,Wells,M,2003-11-01,Mercedes Center,11585,Michelleville,Indiana,068-14-1136,3280299473,jose.wells@gmail.com
39,Michael,Reynolds,M,1984-12-03,Bernard Square,231,Port Jacqueline,Wisconsin,813-32-4174,9107035605,michaelr@protonmail.com
40,Natalie,Stuart,F,1938-09-12,Schmidt Junctions,91484,Longtown,Nebraska,630-31-9354,0217498915,stuart.natalie@hotmail.com
41,Allen,Patel,M,1961-06-20,Nicholas Views,1103,Mooreshire,California,562-83-1181,0541148931,patel.allen@gmail.com
42,Natalie,Oliver,F,1992-05-09,Young Club,5517,Christophermouth,Kansas,803-02-3242,2403653913,natalie.oliver@outlook.com
43,Maria,Bowman,M,1990-05-30,Lutz Junctions,765,South Michael,Oklahoma,620-10-6994,8313210597,mariabowman@hotmail.com
44,Paul,Jenkins,M,1985-10-21,Martinez Forge,129,Berrybury,Tennessee,436-55-7514,0494748896,paul.jenkins@yahoo.com
45,Jenna,Ward,M,1960-08-11,Kevin Union,19051,Carpenterchester,Michigan,545-04-5897,7647728653,jward@hotmail.com
46,Steven,Baker,F,1948-12-05,Silva Falls,2005,Samanthafurt,Rhode Island,350-14-9587,6948748095,baker.steven@protonmail.com
47,Raymond,Bell,F,2007-07-10,Melinda Highway,441,West Miguel,Alabama,530-98-9292,1200659479,raymond.bell@yahoo.com
48,Kimberly,Walker,M,1939-10-22,Weaver Falls,7410,Aprilmouth,North Dakota,668-98-7349,6020394733,kimberlyw@yahoo.com
49,John,Martinez,M,2001-11-02,Matthew Views,40263,Stephanietown,Missouri,542-59-3816,3994880301,jmartinez@outlook.com
50,Michael,Collins,M,2005-05-08,Williams Knoll,4452,West Greg,North Carolina,134-41-0565,9665919329,michaelc@hotmail.com
